,line_text,spans,x0,y0,x1,y1,page,label_kmeans_0,label_kmeans_1,label
0,1944—Indexes I — 4 —,"['1944—Indexes I', '—', '4', '—']",47.0,48.06,221.9,57.31,1,1,1,other
1,Queensland,['Queensland'],49.0,66.06,102.92,76.06,1,1,2,country
2,Dec. 1 An Act to suspend certain provisions of the Unemployed Workers,"['Dec. 1', 'An Act to suspend certain provisions of the Unemployed Workers']",58.0,82.71,364.39,93.01,1,1,0,start
3,"Insurance Acts, 1922 to 19368, and for purposes incidental thereto.","['Insurance Acts, 1922 to 19368, and for purposes incidental thereto.']",105.0,90.69,365.77,100.39,1,0,0,middle
4,"8 Geo. VI, No. 14. The Unemployed Workers Insurance Acts","['8 Geo. VI, No. 14.', 'The Unemployed Workers Insurance Acts']",105.0,98.59,365.53,109.34,1,0,0,middle
5,Amendment Act of 1944.,['Amendment Act of 1944.'],105.0,107.51,201.08,116.91,1,0,1,end
6,"Dec. 14 An Act to amend the Workers' Compensation Acts, 1916 to 1943',","['Dec. 14', ""An Act to amend the Workers' Compensation Acts, 1916 to 1943',""]",58.0,121.11,364.94,131.34,1,1,0,start
7,in certain particulars [compensation for certain diseases and liability,['in certain particulars [compensation for certain diseases and liability'],105.0,129.24,364.62,138.74,1,0,0,middle
8,"for hospital and medical treatmenti. 9 Geo. VI, No. 2. The","['for hospital and medical treatmenti.', '9 Geo. VI, No. 2.', 'The']",105.0,135.74,365.15,147.34,1,0,0,middle
9,Workers' Compensation Acts Amendment Act of 194&,"[""Workers' Compensation Acts Amendment Act of 194&""]",106.0,145.19,321.66,154.89,1,0,0,middle
10,"Dec. 14 An Act to provide that persons who, during war, have been","['Dec. 14', 'An Act to provide', 'that persons who, during war, have been']",58.0,158.34,364.94,169.74,1,1,0,start
11,"members of fighting forces shall receive preference in employment,","['members of fighting forces shall receive preference in employment,']",105.0,167.56,365.47,177.16,1,0,0,middle
12,"and to amend The Industrial Conciliation and Arbitration Acts,","['and to amend The Industrial Conciliation and Arbitration Acts,']",105.0,175.24,364.48,185.54,1,0,0,middle
13,"1932 to 194210, in certain particulars. 9 Geo. VI, No. 4. The","['1932 to', '194210,', 'in certain particulars.', '9 Geo. VI, No. 4.', 'The']",106.0,182.49,365.15,193.71,1,0,0,middle
14,Industrial Conciliation and Arbitration Acts (War Preference in,['Industrial Conciliation and Arbitration Acts (War Preference in'],105.0,191.04,366.17,201.34,1,0,0,middle
15,Employment) Act of 1944.,['Employment) Act of 1944.'],105.0,199.96,208.46,209.56,1,0,1,end
16,South Australia,['South Australia'],50.0,215.79,125.62,227.89,1,1,2,country
17,"Dec. 14 An Act to amend the Workmen's Compensation Act,","['Dec. 14', ""An Act to amend the Workmen's Compensation Act,""]",58.0,233.56,317.22,243.84,1,1,0,start
18,"No. 33 of 1944. Workmen's Compensation Act Amendment Act,","['No.', '33 of 1944.', ""Workmen's Compensation Act Amendment Act,""]",106.0,241.39,366.45,251.86,1,0,0,middle
19,1944.,['1944.'],106.0,251.59,123.32,259.29,1,0,2,other
20,Tasmania,['Tasmania'],50.0,265.94,96.27,277.84,1,1,2,country
21,Apr. 27 An Act to amend [section 36 of I,"['Apr. 27', 'An Act to amend [section 36 of I']",59.0,281.04,247.15,291.79,1,1,1,other
22,. the Workers' (Occupational,"['.', 'the', ""Workers' (Occupational""]",252.0,281.31,366.47,291.11,1,0,0,middle
23,"Diseases) Relief Fund Act 192812 [inserts words ""or treatment""","['Diseases) Relief Fund Act 192812 [inserts words ""or treatment""']",106.0,289.31,367.02,299.51,1,0,0,middle
24,"after word ""examination"", wherever occurring]. 7 and 8 Geo. VI,","['after word ""examination"", wherever occurring].', '7 and 8 Geo. VI,']",105.0,297.36,365.65,307.79,1,0,0,middle
25,No. 76.,"['No.', '76.']",106.0,307.07,133.38,315.37,1,0,2,other
26,BELGIUM,['BELGIUM'],50.0,320.04,102.38,331.54,1,1,2,country
27,Mar. 25 Legislative Order to amend sections 26 and 28 of the Act of 5th,"['Mar. 25', 'Legislative Order to amend sections 26 and 28 of the Act of 5th']",59.0,335.41,366.06,345.91,1,1,0,start
28,"June, 1928, to issue regulations for seamen's agreementsU. (Mom-","[""June, 1928, to issue regulations for seamen's agreementsU."", '(Mom-']",105.0,343.71,365.5,353.56,1,0,0,middle
29,"teur beige — Belgisch Staatsblad, 20th May, 1944, No. 9, p. 224)","['teur beige —', 'Belgisch', 'Staatsblad, 20th May, 1944, No. 9, p. 224)']",106.0,351.71,364.86,361.81,1,0,0,middle
30,BOLIVIA,['BOLIVIA'],51.0,367.81,97.86,379.21,1,1,2,country
31,Nov. 23 Act to fix a date for the calculation of the period of service for,"['Nov. 23', 'Act to fix a date for the calculation of the period of service for']",59.0,383.26,365.06,393.66,1,1,0,start
32,the purpose of the payment of compensation in the event of,"['the purpose of the payment of compensation in', 'the event of']",106.0,390.91,365.93,401.91,1,0,0,middle
33,voluntary resignation [repeals (d) and (f) of section 16 of the,"['voluntary resignation', '[repeals (d) and (f) of section 16 of the']",106.0,399.04,366.99,410.14,1,0,0,middle
34,"General Labour Act'4]. (Protección Social, February 1945, No. 85,","[""General Labour Act'4]."", '(Protección Social, February 1945, No. 85,']",106.0,408.14,366.32,417.81,1,0,0,middle
35,p. 58),['p. 58)'],106.0,417.24,128.16,426.74,1,0,2,other
36,Dec. 29 Act to mike an addition to section 88 of the General Labour,"['Dec. 29', 'Act to mike an addition to section 88 of the General Labour']",59.0,429.49,366.65,440.39,1,1,0,start
37,"Act14, with respect to compensation in case of death resulting","['Act14, with respect', 'to compensation', 'in', 'case of death', 'resulting']",106.0,437.74,367.85,448.43,1,0,0,middle
38,from an industrial accident or occupational disease. (Leyes Sociales,['from an industrial accident or occupational disease. (Leyes Sociales'],107.0,446.96,367.48,456.56,1,0,0,middle
39,"de Bolivia, 1944, pp. 93-94)","['de Bolivia, 1944, pp. 93-94)']",106.0,455.29,211.14,464.59,1,0,1,end
40,1927 (Austral. 5); 1930 (Austral. 8); 1931 (Austral. 2); 1933 (Austral. 3); and,['1927 (Austral. 5); 1930 (Austral. 8); 1931 (Austral. 2); 1933 (Austral. 3); and'],51.0,472.61,367.16,482.81,1,1,0,start
41,"Act of 11th December, 1936 (1 Edw. VIII, No. 25). — L.S. 1925 (Austral. 5);","['Act of 11th December, 1936 (1 Edw. VIII, No. 25). —', 'L.S.', '1925 (Austral. 5);']",51.0,480.91,366.95,490.94,1,1,0,start
42,1926 (Austral. 8); 1929 (Austral. 8); 1933 (Austral. 4); 1934 (Austral. 8);,['1926 (Austral. 8); 1929 (Austral. 8); 1933 (Austral. 4); 1934 (Austral. 8);'],52.0,488.64,365.53,499.34,1,1,0,start
43,1935 (Austral. 8); 1936 (Austral. 5); 1939 (Austral. 2); also Acts of 12th,['1935 (Austral. 8); 1936 (Austral. 5); 1939 (Austral. 2); also Acts of 12th'],52.0,496.59,367.76,507.49,1,1,0,start
44,"December, 1941, 29th April, 1943 and 25th November, 1943 (6 Geo. VI, No. 6,","['December, 1941, 29th April, 1943 and 25th November, 1943 (6 Geo. VI, No. 6,']",51.0,505.54,367.47,515.43,1,1,0,start
45,"and 7 Geo. VI, No. 9 and No. 37).","['and 7 Geo. VI, No. 9 and No. 37).']",51.0,513.64,186.0,523.53,1,1,2,country
46,10L.S. 1933 (Austral. 1); 1934 (Austral. 5); 1935 (Austral. 7); 1937 (Austral.,['10L.S. 1933 (Austral. 1); 1934 (Austral. 5); 1935 (Austral. 7); 1937 (Austral.'],60.0,521.84,365.49,531.73,1,1,0,start
47,"3); 1938 (Austral. 3); also Acts of 12th December, 1941, and 12th November,","['3); 1938 (Austral. 3); also Acts of 12th December, 1941, and 12th November,']",51.0,529.89,365.17,539.99,1,1,0,start
48,"1942 (6 Geo. VI, No. 3 and No. 21). — L.S. 1932 (Austral. 11); 1938","['1942 (6 Geo. VI, No. 3 and No. 21). —', 'L.S.', '1932', '(Austral.', '11);', '1938']",51.0,537.46,366.6,548.66,1,1,0,start
49,"(Austral. 6); also Acts No. 65 of 1940, No. 50 of 1941, and No. 39 of 1943. —","['(Austral. 6); also Acts No. 65 of 1940, No. 50 of 1941, and No. 39 of 1943. —']",52.0,546.26,366.41,556.26,1,1,0,start
50,UL.S. 1929 (Austral. 2); 1934 (Austral. 13) ; 1936 (Austral. 8); 1939 (Austral.,"['UL.S.', '1929 (Austral. 2); 1934 (Austral. 13) ;', '1936 (Austral. 8); 1939 (Austral.']",51.0,553.96,366.33,564.64,1,1,0,start
51,"4); also Acts of 17th December, 1940, 13th November, 1941, and 2nd June,","['4); also Acts of 17th December, 1940, 13th November, 1941, and 2nd June,']",51.0,562.46,366.13,572.86,1,1,0,start
52,"1943 (4 and 5 Geo. VT, No. 81, 5 Geo. VI, No. 51 and 7 Geo. VI, No. 17) and","['1943 (4 and 5 Geo. VT, No. 81, 5 Geo. VI, No. 51 and 7 Geo. VI, No. 17) and']",52.0,570.96,365.55,580.96,1,1,0,start
53,"Statute Law Revision Acts. — u L.S. 1928 (Bel. 5); 1941 (Bel. 7, B).","['Statute Law Revision Acts. —', 'u', 'L.S. 1928 (Bel. 5); 1941 (Bel. 7, B).']",51.0,577.45,321.83,589.29,1,1,0,start
54,1944—Indexes I — 6,"['1944—Indexes I', '—', '6']",51.0,55.59,213.61,65.44,2,1,1,other
55,FiNLAND (continued),['FiNLAND (continued)'],52.0,71.91,164.15,84.11,2,1,2,country
56,"Sept. 1 Act to amend [section 1 of] the Act of 12th April, 1935, respecting","['Sept. 1', 'Act to amend [section 1 of] the Act of 12th April, 1935, respecting']",60.0,88.99,368.16,98.69,2,1,0,start
57,"the insurance, of wage-earning employees against (S.A.","['the insurance, of wage-earning employees against', '(S.A.']",109.0,97.41,368.79,106.81,2,0,0,middle
58,or F.F. No. 593),['or F.F. No. 593)'],108.0,105.16,173.0,115.16,2,0,2,other
59,"Sept. 29 Order to amend [section 5 of] the Order of 14th May,","['Sept. 29', 'Order to amend [section 5 of]', 'the Order of 14th May,']",62.0,118.31,340.95,129.24,2,1,0,start
60,respecting the administration of the Act respecting family allow,['respecting the administration of the Act respecting family allow'],109.0,127.16,364.52,137.16,2,0,0,middle
61,(S.A. or F.F. No. 667),['(S.A. or F.F. No. 667)'],145.0,135.01,235.38,145.21,2,0,1,end
62,"Dec. 29 Act to amend the Act of 30th April, 1943, respecting family","['Dec. 29', 'Act to amend the Act of 30th', 'April,', '1943,', 'respecting family']",61.0,148.09,368.92,159.39,2,1,0,start
63,(S.A. or F.F. No. 1046),['(S.A. or F.F. No. 1046)'],166.0,157.09,260.55,167.19,2,0,1,end
64,"Dec. 30 Order respecting the administration of the Act of 30th April, 1943,","['Dec. 30', 'Order respecting the administration of the Act of 30th April, 1943,']",61.0,171.39,368.63,181.14,2,1,0,start
65,"respecting family [repeals the Order of 14th May,","['respecting family', '[repeals the Order of', '14th May,']",109.0,178.89,368.64,189.39,2,0,0,middle
66,(S.A. or F.F. No. 1047),['(S.A. or F.F. No. 1047)'],146.0,187.54,238.67,197.44,2,0,1,end
67,"Dec. 30 Resolution respecting the administration of the Act of 30th April,","['Dec. 30', 'Resolution respecting the administration of the Act of 30th April,']",61.0,201.44,368.03,211.36,2,1,0,start
68,"1943, respecting family allowancesa [repeals Resolution of 22nd","['1943,', 'respecting family allowancesa', '[repeals Resolution of 22nd']",109.0,209.56,367.71,219.54,2,0,0,middle
69,"December, 19432G]. (S.A. or F.F. No. 1048)","['December, 19432G].', '(S.A. or F.F. No. 1048)']",109.0,217.51,285.48,227.71,2,0,1,end
70,FRANCE,['FRANCE'],53.0,235.24,98.37,246.74,2,1,2,country
71,A. FRENCH REPUBLIC,['A. FRENCH REPUBLIC'],157.0,252.94,266.69,263.64,2,0,1,end
72,Apr. 4 Decree to amend section 82 [composition of the Central Employ,"['Apr. 4', 'Decree to amend section 82 [composition of the Central Employ']",61.0,269.68,364.44,279.79,2,1,0,start
73,"ment Office] of the Decree of 7th April, 1938, to regulate native","['ment Office] of the Decree of 7th April, 1938, to regulate native']",109.0,277.89,368.45,287.99,2,0,0,middle
74,"labour in Madagascar and its Dependencies27. (J.O.R.F. 13th April,","['labour in Madagascar and its Dependencies27.', '(J.O.R.F. 13th April,']",108.0,286.24,368.91,295.74,2,0,0,middle
75,"1944, p. 304)","['1944, p. 304)']",110.0,295.29,157.46,304.19,2,0,2,other
76,"June 22 Ordinance respecting the bodies known as ""organising committees""","['June 22', 'Ordinance respecting the bodies known as ""organising committees""']",61.0,308.19,367.8,317.89,2,1,0,start
77,"[set up by the Act of 16th August, [amended by Ordinance","['[set up by the Act of 16th August,', '[amended by Ordinance']",110.0,316.14,368.39,326.04,2,0,0,middle
78,"of 7th October, 1944]. (J.O.RF. 5th August, 1944, p. 671, and","['of 7th October, 1944]. (J.O.RF. 5th August, 1944,', 'p.', '671, and']",109.0,323.86,368.03,334.89,2,0,0,middle
