,country,region,text,page
0,ALGERIA,,"l/X/1985  Decree No. 85-243 laying down model rules for national institutions of advanced  training.  (Journal officiel, 2  Oct.)  ",1
1,ALGERIA,,"17/XII/1985  Decree No. 85-306 to establish a general inspectorate for educational activities  attached to the Ministry of higher education, (ibid., 18 Dec).  9/II/1986  National Charter, (ibid., 16 Feb.)  [The new National Charter promulgated on 16 February 1986 is a constitutional document. It is  a sequel to a number of basic texts adopted since the beginning of the Algerian revolution,  including the first Charter of 1976, which this latest Charter is intended to supplement and  extend. Like its predecessor, the 1986 Charter is in the form of a statement of general principles  rather than a set of detailed rights and obligations. The preamble explains the historical bases of  Algerian society in some detail. Title  1  then describes the ideological background of Islam and  socialism, Title 2 the national institutions, i.e. the Party, the State and the supervisory  machinery, and Title 3 the over-all development of the nation (organisation of the economy;  rural, industrial, cultural, social and regional development; promotion of the nations resources).  The final Title defines the basic principles that apply to work, employment, wages, social  protection and training. The Charter states that work is not only a right but also a duty;  parasitism and idleness must be eradicated. Wage policy is based on the concept of a guaranteed  minimum wage and wage relationships will be harmonised by means of a national classification  scheme. The Charter favours the employment of women, subject to strict rules to ensure the  protection of maternity and guarantee family unity. It also provides for the encouragement of  small and medium-sized undertakings, in both the public and the private sectors. The 1986  Charter was adopted by referendum on 16 January 1986 by 10,508,863 votes in favour to  181,063 against.]  ",1
2,ALGERIA,,"25/111/1986  Decree No. 86-60 determining the provisions applicable to workers employed abroad  in co-operation activities, (ibid., 26 Mar.)  ",1
3,ALGERIA,,"30/IV/1986  Order concerning the provisions to make in regard to, and the contents of, medicine  chests on board ships flying the national flag, (ibid., 10 Sep.)  [Issued in application of Ordinance No. 76-80 of 23 Oct. 1976 (the Maritime Code).]  ",1
4,ANGOLA,,"24/III/1986  Act No. 6, to regulate the status of resident foreign workers.  (Diario da República,  24 Mar.)  [The Act is applicable in respect of foreign nationals residing in Angola and recruited locally. It  applies neither to salaried workers recruited abroad, nor to foreign workers without scientific  and technical qualifications, who remain subject to the General Labour Act of  1981.  The new  Act provides for equality of treatment between foreign and Angolan workers in matters  pertaining to health care, insurance against industrial accidents, retirement pensions, wagefixing and the payment of income tax. Foreign workers are not allowed to enter into contracts of  employment with foreign companies, or engage in any other form of gainful activity without  permission from the appropriate ministry. The Act makes no provision for the remittance of  a  portion of the worker's remuneration to their country of origin, but it does provide for the  possibility of taking back goods that were imported or acquired by lawful means, subject to such  conditions as may be laid down by the Ministry of Finance. This new statute cancels and  replaces the earlier one, dating back to Decree No. 22 of 1978. It was made in accordance with  the General Labour Act of  1981  which was published in the Legislative Series (1981—Ang.l).]  ",1
5,ANGOLA,,Copyright © International Labour Organisation 1987  3/87  ,1
6,ANGOLA,,1987—List No. 3  2  (108)  ,2
7,ANGOLA,,"29/III/1986  Act No. 7, to regulate the status of workers employed under co-operation schemes.  (ibid., 29 Mar.)  [This statute supplements the Act governing the status of foreign workers, by regulating that of  salaried foreign workers recruited abroad to take up employment in Angola. It differs from Act  No.  6/86 in several respects, notably by providing for an accommodation guarantee, an  installation grant, the reimbursement of travel expenses and the remittance of part of the  workers' remuneration. It provides for equality of treatment in respect of medical care, but not  in matters pertaining to remuneration and social insurance. The Act supersedes the corresponding provisions of Decree No. 22 of 1978.]  ",2
8,ANGOLA,,"2/VI/1986  Executive Decree No. 22 to approve the internal regulations of the National  Department of Human Resources, (ibid., 2 June)  [This Department, which comes under the State Secretary for Social Affairs, is responsible  particularly for studying, orienting, supervising, co-ordinating, issuing rules for and auditing  activities related to the organisation of work and of wages, occupational health and safety, and  vocational training and counseling.]  ",2
9,ANGOLA,,"9/VI/l  986  Decree No. 11 to approve the regulations governing the engagement of resident foreign  workers, including a model contract, (ibid., 9 June)  ",2
10,ANGOLA,,"14/VI/1986  Decree No.  12  to approve the regulations governing the engagement of workers in the  context of co-operation activities, (ibid., 14 June)  [These workers (in the categories of higher or intermediate level technicians and specialised  manual labourers) shall benefit from the same conditions as national workers, receiving wage  increases for the exercise of occupational activities under abnormal conditions. Chap. Ill deals  with training of national workers (in particular by means of training, retraining, seminars,  workshops and conferences).]  ",2
11,ANGOLA,,"9/VIII/1986  Decree No.  16  to approve the regulations regarding medical assistance and medicines  in the people's Republic of Angola, and repealing all conflicting provisions, (ibid., 9 Aug.)  [The assistance shall include: assistance in regard to prevention and health promotion; medicalsurgical assistance; rehabilitation assistance; paramedical care; provision of medicines, medicalsurgical products and prosthesis.]  ",2
12,ANGUILLA,,"29/V/1986  The Social Security (Amendment) Ordinance 1986. No. 1.  (Official Gazette,  Supplement, 30 June)  [Miscellaneous amendments to the Social Security Ordinance 1980, in particular regarding  employment injury.]  29/V/1986  The Control of Employment (Amendment) Ordinance 1986. No. 2. (ibid.)  [Amends s.  3  of the Control of Employment Ordinance 1980, in regard to a husband or widower,  under stated circumstances.]  ",2
13,ANGUILLA,,"28/VII/l  986  The Social Security (Benefits) (Amendment) Regulations 1986. S.R.O. No. 4. (ibid.,  31 July)  [Amend the Social Security (Benefits) Regulations 1981 in regard to, in particular, sickness  benefit, maternity benefit, invalidity benefit, survivor's benefit and contributions.]  ",2
14,ANGUILLA,,28/VII/1986  The Social Security (Contributions) (Amendment) Regulations 1986. S.R.O. No. 5.  (ibid.)  [Amend the Social Security (Contributions) Regulations 1981 in various minor respects.]  ,2
15,ANGUILLA,,28/VII/1986  The Social Security (Financial and Accounting) (Amendment) Regulations 1986.  S.R.O. No. 6. (ibid.)  [Amend the Social Security (Financial and Accounting) Regulations 1981 in regard to the Social  Security Development Fund and related matters.]  ,2
16,ANGUILLA,,28/VII/1986  The Social Security (Modifications of Insurance and Voluntary Contributions)  (Amendment) Regulations 1986. S.R.O. No. 7. (ibid.)  [Miscellaneous amendments.]  ,2
17,ANGUILLA,,(109)  3  1987—List No. 3  ,3
18,ANTIGUA AND BARBUDA,,"5/VÍ/1986  Social Security (Benefits) (Invalidity Pension and Grants) (Amendment) Regulations  1986.  S.I.  1986  No. 25.  [Amendments to Regulations 2 (definitions), 5, 6 and 8 of the principal Regulations of 1977.]  ",3
19,ANTIGUA AND BARBUDA,,"5/VI/1986  Social Security (Benefits) (Maternity) (Amendment) Regulations 1986. S.I. 1986 No.  26.  [Amend Regulations 8 and  10  of the principal Regulations of  1973,  in regard to the period of  time during which maternity allowance may be paid.]  ",3
20,ANTIGUA AND BARBUDA,,"5/VI/l  986 Social Security (Benefits) (Age Pensions and Grants) (Amendment) Regulations 1986.  S.I. 1986 No. 28.  [Miscellaneous amendments to the principal Regulations of 1973, in particular regarding  definitions and rates payable.]  ",3
21,ARGENTINA,,"9/VIII/1985  Decision No. 1280 concerning the adjustment of the period of service required by  section  2  of Decree  No.  3984  of  1984  with respect to workers bound  by  contracts of employment  for specified periods, owing to the nature of the tasks or occupation.  (Boletín  Official,  19  Aug.)  ",3
22,ARGENTINA,,"13/IX/1985 ActNo. 23226  to  amends.  38  of Act  No.  18037 (text registered in  1976)  regarding the  new pension scheme for employees [LS 1974=—Arg. 3A, 1976—Arg. 2] and s. 26 of Act No.  18038 (text registered in 1980), which instituted the pension scheme for self-employed persons  [LS 1980—Arg. 2]. (ibid., 2 Oct.)  [Provides for the procedures applicable to receipt of a pension in the case of a widow or a  widower unable to work and  who was  dependent on the worker at the  time  of the latter's demise  (periods of cohabitation, proof required to show a presumed marriage, etc.).]  ",3
23,ARGENTINA,,"30/IX/1985 Act No. 23302 on policy-making with regard to the indigenous population and  support to aboriginal communities, (ibid., 12 Nov.)  [The Act lays down the basic principles of policy-making in respect of the indigenous  population; it is composed of three main titles dealing with land adjudication (ss. 7-13),  education programmes (ss. 14-77) and health care (ss. 18-21). Indigenous communities are  granted separate legal personality (s. 2), which they obtain by registering with the registry of  indigenous communities; relations inside the communities will be regulated by the Laws  governing co-operatives or mutual or other  associations.  Land adjudication programmes are to  be set up by the executive authorities. The adjudication of land will be effected through the  transfer of State-owned land to the communities, or, if there are none available, through the  transfer of provincial or communal land, or, if necessary, through the expropriation of privately  owned land. Adjudications will be free of charges and tax, and preferential loans will be  available for land development and farming. Land ownership and disposal by the indigenous  communities are also made subject to various  restrictions.  Education programmes must include  teaching in the indigenous languages. As regards health care, special emphasis is placed on  preventive medicine and the improvement of sanitation and health standards in the indigenous  areas.  The Act provides for  the  establishment of  the  National Institute for Indigenous  AfTairs,  in  charge of implementation, which will operate with the participation of representatives of the  communities concerned.]  ",3
24,ARGENTINA,,"2/X/l 985 Act  No.  23238  respecting the rehabilitation scheme for temporary teaching  staff,  (ibid.,  14  Oct.)  [Contains provisions on the computation of retirement pensions.]  1 /XI/1985  Decree  No.  2131 to  establish  the  Commission and Sub-Commission for  the  application  of Act No. 23126 in the public sector, (ibid., 4 Nov.)  [S.  1 of the said Act restores to statutory effectiveness the clauses of collective bargaining  agreements; the members of the Commission established by the Act are the Ministers of  Defence, Economic Affairs, Public Works and Services, and Labour and Social Security, and  the Secretary for the Civil Service. The functions of the Commission are, inter alia, to issue  guide-lines concerning budgetary and operational adjustments needed in certain state or semipublic undertakings and to formulate general instructions concerning the negotiation of certain  contractual clauses with trade union bodies.]  ",3
25,ARGENTINA,,1987—List No. 3  4  (110)  ,4
