,country,region,text,page
0,ENTERNATIONAL,,Feb. 9th. Convention respecting insurance against oc-  cupational accidents concluded at the Hague  between Belgium and the Netherlands. T. ... Int. 3  ,3
1,ENTERNATIONAL,,Feb. 14th Convention between France and Belgium for  the purpose of guaranteeing to their nationals  working in French or Belgian mines the advantages  of the special system of miners’ pensions in force  in each country. T. ..... 0... . eee ee eee ee eee Int. 1  ,3
2,ENTERNATIONAL,,Mar. 4/16th Agreecinent respecting the treatment of Italian  nationals in Switzerland and Swiss nationals in  Italy in respect of unemployment benefit (ex-  change of Notes between the Italian Legation at  Berne and the Swiss Federal Department of  National Economy). T. ............. eee eeuee Int. 2  ,3
3,ENTERNATIONAL,,Oct. 8th Convention between Italy and the United States  of Brazil respecting emigration and employment.T. IJ Int. 1  ,3
4,ARGENTINE,,June 8th Act respecting matches manufactured’ with  poisonous phosphorus. T. ...........-20.0- 0005 II Arg. r  ,3
5,AUSTRIA,,"Mar. 1oth Act respecting the regulation of employment in  domestic service and in agricultural and sylvi-  cultural undertakings in Upper Austria (Domestic  and Agricultural Code). T. .................. Aus. 3, (1)  ",3
6,AUSTRIA,,Mar. 11th Act to amend certain provisions of the Act relating  to the sickness insurance of workers (Sickness  Insurance Amendment Act No. V1). E. ....... Aus. 6  ,3
7,AUSTRIA,,"Mar. 22nd Act concerning the regulation of agricultural  labour in the State of Lower Austria. T .... Aus, 2  ",3
8,AUSTRIA,,May 11th Act relating to the contract of service of private  employees (Employees’ Act). T........... vee Aus. I  ,3
9,AUSTRIA,,June rst Act concerning the regulation of employment in  agriculture and in domestic service in the State  of Carinthia. S. ............. eee ee cee e anes Aus. 3 (10}  ,3
10,AUSTRIA,,July r4th Act relating to industrial inspection. T. ...... Aus. 4 ~—5 (1)  ,3
11,AUSTRIA,,Aug. r2th Order respecting a special industrial inspection  service for inland navigation. T. ............. Aus. 4—5 (9)  ,3
12,AUSTRIA,,Aug. r2th Order of the Ministry of Social Administration  concerning the inspection areas for industrial  inspection. S. 20.0... cc cece eee ce eee eens Aus. +—5 (10)  ,3
13,AUSTRIA,,Aug. 12th Decree issued by the Ministry of Social Ad-  ministration respecting instructions to the in-  dustrial inspectors. Tl. ..........2-...02.0000. Aus. 4—5 (10)  ,3
14,BELGIUM,,"May 24th Act to repeal Section 310 of the Penal Code. IT, Bel. 2--3 (1)  ",4
15,BELGIUM,,May 24th Act to guarantec freedom of association. T. ... Bel. 2—4 (1)  ,4
16,BELGIUM,,June 14th Act to provide for an eight-hour day and a forty-  eight hour week. T. ......... 0... cece e eee Bel. 1  ,4
17,BELGIUM,,"Aug. 7th Act of 24th December, 1903, respecting compen-  sation for injurics resulting from industrial  accidents, as amended by the Acts of 27th August,  1919, and 7th August, r921. T............... Bel. 4 (1)  ",4
18,BELGIUM,BraziL,Jan. 6th Deerce regulating alien immigration into Brazilian  tOIritOry 2. ee ee ee eee ee Braz. 1  ,4
19,CHILE,,Mar. 22nd Regulations for the administration of the  Créches Act®. T. 2... 0... eee eee ee eeee Chil. 1~2 (2)  ,4
20,COLOMBIA,,Nov. 18th Act to establish compulsory collective insurance Col. 1  ,4
21,CzECHOSLOVAKIA,,Mar. 11th Act for the encouragement of building*. S. ... Cz. 1 (1)  ,4
22,CzECHOSLOVAKIA,,Apr. ist Act to amend the provisions of Section 1154b  of the Civil Code. T. ..... ecc eee eee eee Cz. 2  ,4
23,CzECHOSLOVAKIA,,"May 21st Administrative Order of the Government of  the Czecho-Slovakian Republic under Chapter IIT  of the Act of 11th March, 1921, No. 100, respecting  the encouragement of building. S. ........... Cz. 1 (3)  ",4
24,CzECHOSLOVAKIA,,"July 1st Act respecting the introduction of paid annual  , leave for workers engaged in the mining of .  reserved minerals. T. ......,.... cece eee eeee Cz. 3  ",4
25,CzECHOSLOVAKIA,,July roth Act respecting the State supplement to unemploy-  sment benefit. To 2... ee cee eee ee eee Cz. 5  ,4
26,CzECHOSLOVAKIA,,"Aug, 12th Act relating to works committecs. T. ......... Cz. 4  ",4
27,CzECHOSLOVAKIA,,Aug. 12th Act to prohibit coercion and to safeguard liberty  of assembly. T. 2.0... cece eee ence eee ee Cz. 6  ,4
28,DENMARK,,"Apr. Ist Provisional Act relating to the hour for closing  shops, places of sale, etc., in the evening. T. Den. 5—6 (1)  ",4
29,DENMARK,,Apr. 8th Notification respecting the installation and in-  spection of compressed air containers. T. .... If Den. 3  ,4
30,DENMARK,,May 6th Act relating to apprenticeship. T. ........... Den. 1.  ,4
31,DENMARK,,May 6th Act to amend the Poor Relief Act. T. ....... Den. 2 (21)  ,4
