country,region,text,page,full_date,year
WORKMEN'S COMPENSATION Mex 4 A MorFr 1,,"Work RULES OF UNDERTAKINGS: Bel.C. 1, Hon. 1 (s. 29). Younc PERSONS, EMPLOYMENT OF: Aus. 2 B, Mal. 2 (Ss. 45-55), Nor. 1, Pak. 4, Tan. 4 (ss. 79-80, 83-85, 88, 90-95), Yug. 1. Il, INDEX OF ENACTMENTS OF OTHER YEARS INCLUDED WITH TEXTS PUBLISHED IN THE LEGISLATIVE SERIES FOR 1955 ",1,,0
BRAZIL,,"1954, Apr. 1 Act No. 2196, to insert a new item in the sole subsection of section 285 of the Consolidation of Labour Laws respecting the service of workers engaged in the handling of goods. (Didrio Oficial, 6 Apr. 1954) Bra. 1B ",1,,0
BRAZIL,,"1954, June 23 Act No. 2244, to amend certain provisions of the Consolidation of Labour Laws relating to labour courts and to make provision for other matters. (Ibid., 30 June 1954) Bra. 1C ",1,,0
BRAZIL,,"1954, July 30 Act No. 2275, to amend the sole subsection of section 872 of Legis- lative Decree No. 5452 of 4 May 1943 (Consolidation of Labour Laws). (Ibid., 2 Aug. 1954) Bra. 1D ",1,,0
MEXICO,,"4948, Dec. 30 Decree to lay down rules for the representation of workers and ern- ployers on conciliation and arbitration boards. (Diario Oficial, 12 Jan. 1949) . Mex. 1B ",1,,0
MEXICO,,"1948, Dec. 31. Decree to amend section 80 of the Federal Labour Act fixing compulsory rest days. (Ibid., 24 Jan. 1949) Mex. 1C ",1,,0
MEXICO,,"1950, Dec. 21. Decree to amcnd the second paragraph of section 110 of the Federal Labour Act. (Ibid., 9 May 1951) Mex. 1D ",1,,0
UGANDA,,"1946, Apr. 30 Ordinance to regulate the relations of employers. No. 13 of 1946. Ug. 1B 6 — Il. ERRATA Legislative Series 1953 Annual Supplement, p. 25: under “ Germany (Federal Republic) ” insert the following to form the second item: Aug. 20. Act to introduce certain measures concerning execution provides for the incorporation in the Code of Civil Procedure (mainly 88. 850 a, 850i, 851 a and 851 5) of the law relating to wages attach- ment. The Wages Attachment Order of 20 Oct. 1940 [LL.S. 1940—Ger. 2}, as amended by the Act of 22 Apr. 1952 [L.S. 1952—Ger.F.R. 4], ceases to apply in matters of civil procedure execution]. (Bundesgesetzblatt, 241 Aug.)” Legislative Series 1954 Bel. 3, p. 5: in the first line of the fourth paragraph of article 19 read “It shall be 14 days ”. ",1,,0
UGANDA,,"Swe. 1, p. 2: in the last line of the footnote read “ 1956 (Swe. 1) ”. ",2,Swe. 1,0
UGANDA,,"Yug. 2, p.10: in the first line of paragraph (1) of article 24 read “ 80 per cent.”. in the fourth line of paragraph (2) read “ have not been insured ”. Legislative Series 1955 ",2,Yug. 2,0
UGANDA,,"Col. 1, p. 1: in the third line of the title read “1955. (Diario Oficial,”. ",2,Col. 1,0
ALBANIA,,"Jan. 4 Decree No. 1979, to amend Decree No. 1354 of 1 Nov. 1951 respecting the formation of manpower reserves. (G.Z. 18 Jan.) ",2,Jan. 4,0
ALBANIA,,"Jan.12 Order No. 13, respecting auxiliary agricultural undertakings. (G.Z. 18 Jan.) ",2,Jan.12,0
ALBANIA,,"Jan. 24 Decree No. 1990, respecting social tribunals in establishments. (G.Z.18 Feb.) ",2,Jan. 24,0
ALBANIA,,"Jan. 25 Ordinance No. 4, to extend state social insurance to members of fishermen’s co-operative societies. (G.Z. 18 Feb.; corrections: ibid., 30 Apr.) ",2,Jan. 25,0
ALBANIA,,"Feb. 9 Order No. 53, respecting supplementary remuneration for groups of fisher- men in cases where the fishing plan is exceeded. (G.Z. 16 Mar.) ",2,Feb. 9,0
ALBANIA,,G.Z. = Gazeta Zyrtare. ,2,,0
ALBANIA,,"Apr. 9 Order No. 129, to approve the model rules for intermediate vocational Schools. (G.Z. 16 May) . ",3,Apr. 9,0
ALBANIA,,"Aug. 8 Decree No. 2111, to amend Decree No. 1635 of 5 Mar. 1953 respecting state social insurance. (G.Z. 1 Sep.) ",3,Aug. 8,0
ALBANIA,,"Dec. 5 Decree No. 2170, respecting the state inspectorate of pressure vessels. (G.Z. 31 Dec.) ",3,Dec. 5,0
ARGENTINA,,"Jan. 10 Act No. 14392, to provide for the granting of land to agricultural workers for settlement purposes. (B.O. 24 Jan.). (Published in Food and Agri- cultural Legislation, Vol. IV.] ",3,Jan. 10,0
ARGENTINA,,"Feb. 11. Decree No. 1958, to prescribe the rules of the new scheme for the granting of retirement pensions by the national welfare funds. (B.O. 17 Feb.) ",3,Feb. 11,0
ARGENTINA,,"July 12 Decree No. 11001, respecting the calculation of cost-of-living bonuses for persons in receipt of retirement pensions. (B.O. 15 July) ",3,July 12,0
ARGENTINA,,"Aug. 25° Decree No. 13568, to lay down general Regulations under Act No. 14392 granting land to agricultural workers for settlement purposes. (B.O. 7 Sep.) ",3,Aug. 25,0
