country,region,text,page,full_date,year
AUSTRIA,,"1979—Aus. 2. This translation reproduces the official consolidation of the Maternity Protection Act of 13 Mar. 1957 (originally translated as Legislative Series, 1957—Aus. 1A, 1960—Aus. 2). ",1,,0
FEDERAL REPUBLIC OF GERMANY,,1979— ,1,,0
FEDERAL REPUBLIC OF GERMANY,,"Ger.F.R. | This translation reproduces a consolidation prepared by the International Labour Office of the Maternity Protection Act of 24 Jan. 1952 (last translated as Legislative Series, 1965—Ger.F.R. 2). ",1,,0
LUXEMBOURG,,"1979—Lux. 2. This translation reproduces the official consolidation of the Act of 22 Apr. 1966 to make uniform provision for the annual leave with pay of employees in the private sector (originally translated as Legislative Series, 1966—Lux. 1). ",1,,0
MEXICO,,"30 Dec. 1975 Decree to amend s. 87 and clauses III and IV of s. 501 of the Federal Labour Act. ( Diario Oficial, 31 Dec. 1975) Mex. 1B (2/80) ",1,,0
MEXICO,,"28 May 1976 Decree to amend and supplement the Federal Labour Act. (ibid., 2 July 1976) Mex. IC (2/80) ",1,,0
MEXICO,,"27 Apr. 1978 Decree to amend the Federal Labour Act in the matter of training, safety and health and the federal responsibility for certain activities and sectors. (ibid., 28 Apr. 1978) Mex. 1D (2/80) ",1,,0
NETHERLANDS,,1979—Neth. | This translation reproduces the official consolidation of the Works Councils Act of 28 Jan. 1971 (originally translated in the Legislative Series as 1971— Neth. 1). ,1,,0
SWITZERLAND,,"19 Apr. 1978 Federal Vocational Training Act. ( Recueil des Lois Fédérales-Sammlung der eidgendssichen Gesetze, 11 Dec. 1979) Swi. 1B (2/80) III. ERRATA Legislative Series, 1977 ",1,,0
SWITZERLAND,,"On p. ! of the Annual Supplement, under the heading Apprentices, for “Fr. 2”’ read ‘Fr. 3°’. IV. CHRONOLOGICAL LIST OF LABOUR LEGISLATION ENACTED IN 1979 Introduction ",1,,0
