country,region,text,page,full_date,year
INTERNATIONAL LABOUR OFFICE,,i ee i ae ,1,,0
INTERNATIONAL LABOUR OFFICE,,b- of) the aan JT ,1,,0
INTERNATIONAL LABOUR OFFICE,,Le ee 198 31 ~ 4 ras ,1,,0
INTERNATIONAL LABOUR OFFICE,,"Ye See wu! x meee “a ies, pie OS i] », 4 L Sy AR Pe efiyy . + an . Set Wegcuk te” cnet GENEVA, SWITZERLAND 1935 LEGISLATIVE. SERIES, 1932 INDEXES ",1,,0
INTERNATIONAL LABOUR OFFICE,,"I. Chronological Indexes:—’ Page A. Laws and Orders of 1932 in the Legislative Series of the International Labour Office, 1932, and other labour legislation passed during the year 1932 2. 6 we 3 (1123) B. Laws and Orders of years previous to 1932, reproduced in full or in part or summarised in connection with Laws and Orders of 1932 which are published in the Legislative Series for that year . . . 136 (1256) II. Subject Index to the Legislative Series, 1932... . . 1 1 1 6 6 +) 139 (1257) ",2,,0
INTERNATIONAL LABOUR OFFICE,,"List of Errata and Addenda... ...... 2... eee ee ee es) T6E (1281) INDEXES. I. CHRONOLOGICAL INDEXES. A) CHRONOLOGICAL INDEX OF LAWS AND ORDERS IN THE LEGISLATIVE SERIES OF THE INTERNATIONAL LABOUR OFFICE, 1932, AND OF OTHER LABOUR LEGISLATION PASSED DURING THE YEAR 1932. ",2,List o,0
INTERNATIONAL LABOUR OFFICE,,"The index covers the same range of subjects as the Legislative Series. It includes all important labour legislation in the narrower sense, excluding laws affecting the working classes in general apart from the question of employment—i.e. laws relating to housing, co-operation, land settlement, etc. The titles are arranged chronologically under the names of the countries, which are in alphabetical order, provinces and dependencies being placed under their mother country. Treaties and international agreements are grouped under the heading ‘‘ International’’ and placed after the national legislation. The Saar Territory and the territories administered by various Powers under mandates from the League of Nations are grouped together under the heading ‘‘ League of Nations”. In most cases the title alone is given, but brief notes are added within square brackets ",3,The ind,0
INTERNATIONAL LABOUR OFFICE,wherever the title is not sufficiently selfexplanatory,"When a law has been published in the Legislative Series either fully or in part, the number of the brochure in the Legislative Series which contains it is given opposite the title, on the right hand side of the page, in black type: Text: Bel. 1 or Extract: Int. 6. The letters and unbracketed numbers after the word “‘ Text”’ or ‘‘ Extract’ are the references in the Legislative Series for 1932, which may be used in ordering copies of the documents in question or in referring to the Series for any other purpose. Letters in brackets refer to the position of texts in a series of consecutively lettered laws con- tained in the same brochure. Unless another year is given, the references to the various ",3,,0
INTERNATIONAL LABOUR OFFICE,wherever the title is not sufficiently selfexplanatory,official gazettes and journals are always to the year 1932. NATIONAL LEGISLATION. ,3,offi,0
ALBANIA,,"Jan. 16 Act to repeal the Act {of 14th March, 1929] respecting economic chambers and to re-introduce chambers of commerce. (F. Z. no. 20, p. 1) ",3,Jan. 16,0
ALBANIA,,"Jan. 28 Decree respecting the ratification and application of four international con- ventions {night work of women in industry; minimum age for admission of children to industrial employment; night work of young persons in industry; simplification of the inspection of emigrants on board ship]. (F.Z. no. 18, p. 9) ",3,Jan. 28,0
ALBANIA,,F.Z. = Fletorja Zyrtare. 4 — (1124) ,3,,0
ALBANIA,,"Feb. 23 Act respecting commerce, handicrafts and industry [permits to engage in business]. (F.Z. no. 12, p. 1) ",4,Feb. 23,0
ALBANIA,,"Mar. 5* Commercial Code [§§ 673—723, seamen]. (F.Z. no. 10, p. 1) Extracts: Alb. 1 ",4,Mar. 5,0
ALBANIA,,"Mar. 5* Act respecting the coming into operation of the Albanian Commercial Code date of commencement: 1st April, 1932]. (F.Z. no. 10, p. 139) ",4,Mar. 5,0
ALBANIA,,"Mar. 12 Roads Act [§2, every inhabitant of 18—58 years of age must pay annual road tax or do ten days’ work on the roads]. (F.Z. no. 14, p. 1) ",4,Mar. 12,0
ALBANIA,,"Apr. 19 Legislative Decree respecting the settlement of persons of Albanian race returning to Albania. (F.Z. no. 34, p. 1) ",4,Apr. 19,0
ALBANIA,,"Apr. 30 Acts respecting the setting up of (1) chambers of commerce, and (2) cham- bers of agriculture. (F.Z. no. 26, pp. 4 and 9) ",4,Apr. 30,0
